city,locality,geo_lat,geo_lon
Bangalore,Doddabommasandra,13.0544347,77.559327
Bangalore,Choodasandra,12.8883623,77.6799727
Bangalore,Kuvempu Layout on Hennur Main Road,,
Bangalore,New Thippasandra,12.9761264,77.660815
Bangalore,Attiguppe,12.9618581,77.5335932
Bangalore,Kudlu Gate,12.8899174,77.6396808
Bangalore,Bommenahalli,13.0742536,77.7465943
Bangalore,Prakruthi Township,13.0308767,77.6521533
Bangalore,BTM 1st Stage,12.9194108,77.609966
Bangalore,ITPL,12.9846295,77.7377329
Bangalore,Nagavara,13.0374647,77.623602
Bangalore,Harohalli,13.1305028,77.5804603
Bangalore,KPC Layout,12.9041861,77.6778517
Bangalore,Vinayaka Layout Road,13.0155836,77.7063956
Bangalore,Yelahanka Satellite Town,13.0988898,77.5806518
Bangalore,Chikballapur,,
Bangalore,Ashok Nagar,12.9694359,77.6092319
Bangalore,Halanayakanahalli,12.8966653,77.6855489
Bangalore,Bannerghatta,12.9425312,77.6027848
Bangalore,RT Nager,,
Bangalore,Jogupalya,12.9746882,77.628026
Bangalore,Jeevan Bima Nagar,,
Bangalore,Vignana Kendra,13.0705989,77.5867134
Bangalore,Kodihalli,12.9635497,77.6460411
Bangalore,Bennigana Halli,,
Bangalore,Kannamangala,13.015491,77.7631731
Bangalore,Wilson Garden,12.9489339,77.5968273
Bangalore,Yelahanka,13.1006982,77.5963454
Bangalore,Bagaluru Near Yelahanka,,
Bangalore,Narayanapura on Hennur Main Road,,
Bangalore,Amruthahalli,13.0648426,77.5993429
Bangalore,Kaikondrahalli,12.9138348,77.6775268
Bangalore,Murugesh Palya,,
Bangalore,Vimanapura,12.96218,77.6635462
Bangalore,Rustam bagh Layout,,
Bangalore,Kanakapura,12.8591407,77.5284991
Bangalore,Bangalore City Municipal Corporation Layout,,
Bangalore,byatarayanapura,13.068322,77.591006
Bangalore,Seshadripuram,12.9946631,77.5747183
Bangalore,Bettadasapura,,
Bangalore,Bhoganhalli,,
Bangalore,Jigani,12.7764978,77.6326204
Bangalore,Gottigere,12.8565317,77.5877237
Bangalore,Reliaable Tranquil Layout,,
Bangalore,BTM Layout 2nd Stage,12.9140082,77.607945
Bangalore,Ramagondanahalli,12.9558969,77.7405826
Bangalore,Anagalapura Near Hennur Main Road,,
Bangalore,JP Nagar Phase 1,12.9096941,77.5866067
Bangalore,Malleswaram,13.0027353,77.5703253
Bangalore,Kanakapura Road Beyond Nice Ring Road,,
Bangalore,Vijayanagar,12.9709537,77.5373851
Bangalore,Sai Baba Ashram,,
Bangalore,Chansandra,12.982522,77.7605253
Bangalore,Kalkere,13.0344453,77.6766779
Bangalore,Devanahalli,13.142344,77.7339688
Bangalore,Gandhi Nagar,12.9771534,77.5800313
Bangalore,Sanjeevini Nagar,12.9162546,77.5891812
Bangalore,Ramanashree California Gardens Layout,,
Bangalore,Virupakshapura,13.0638109,77.5717581
Bangalore,judicial layout,13.0837692,77.5860438
Bangalore,Sampangiram Nagar,,
Bangalore,Balaji Layout,12.9636169,77.7342959
Bangalore,Sarjapur,12.9694037,77.5870258
Bangalore,Dwarka Nagar,13.0880852,77.4949031
Bangalore,Doddakammanahalli,12.8509089,77.5986785
Bangalore,Panduranga Nagar,12.8930758,77.5961351
Bangalore,Bagaluru,13.1403482,77.671269
Bangalore,Kudlu,12.8889126,77.6555716
Bangalore,Dodda Banaswadi,13.0133522,77.6497417
Bangalore,Mallathahalli,12.969649,77.5023618
Bangalore,Vasanth Nagar,12.9921738,77.591459
